lang	total_mean	rate_mean	reg_mean	skip_mean	d_ratio_mean	mean_depth_mean	embeddedness_mean	mlu_mean	num_tokens_mean	ttr_d_mean	ttr_p_mean	ttr_w_mean	n_v_ratio_mean	total_sd	rate_sd	reg_sd	skip_sd	d_ratio_sd	mean_depth_sd	embeddedness_sd	mlu_sd	num_tokens_sd	ttr_d_sd	ttr_p_sd	ttr_w_sd	n_v_ratio_sd	total_min	rate_min	reg_min	skip_min	d_ratio_min	mean_depth_min	embeddedness_min	mlu_min	num_tokens_min	ttr_d_min	ttr_p_min	ttr_w_min	n_v_ratio_min	total_max	rate_max	reg_max	skip_max	d_ratio_max	mean_depth_max	embeddedness_max	mlu_max	num_tokens_max	ttr_d_max	ttr_p_max	ttr_w_max	n_v_ratio_max
du	52175.88	239.38	0.3	0.53	0.86	4.2	0.19	38.67	185.51	0.13	0.06	0.62	2.38	19132.89	80.49	0.1	0.13	0.02	0.63	0.19	9.22	14.33	0.01	0.01	0.03	0.75	19506	75	0.07	0.22	0.83	3.36	0	28	160	0.11	0.05	0.58	1.5	155877	655	0.58	0.97	0.89	5.5	0.57	55	212	0.16	0.07	0.67	4.33
ee	52444.55	164.83	0.26	0.35	0.84	3.99	0.16	30.49	129.18	0.16	0.09	0.83	3.89	20488.59	50.1	0.09	0.14	0.03	0.72	0.15	10.06	15.55	0.02	0.01	0.05	1.04	21507	39	0.05	0.13	0.79	3.08	0	21	102	0.14	0.06	0.73	2.14	206896	364	0.51	0.98	0.89	5.75	0.5	53	155	0.2	0.11	0.91	5.64
en	42203.71	267.61	0.26	0.57	0.85	4.7	0.16	37.1	174.43	0.14	0.07	0.63	2.4	12565.94	68.95	0.08	0.16	0.02	0.75	0.19	7.86	17.35	0.02	0.01	0.04	0.54	15137	104	0.05	0.23	0.82	3.8	0	26	136	0.12	0.06	0.55	1.53	104863	539	0.52	1	0.89	6.75	0.6	55	198	0.17	0.09	0.71	3.73
fi	42580.3	193.03	0.22	0.29	0.85	3.64	0.16	25.2	121.85	0.19	0.09	0.87	3.13	15507.59	59.98	0.1	0.12	0.03	0.41	0.06	5.41	14.97	0.02	0.01	0.04	0.89	13728	53	0.04	0.08	0.79	3.2	0.09	18	94	0.17	0.07	0.78	1.82	161221	459	0.52	0.97	0.9	4.75	0.33	41	146	0.22	0.11	0.92	4.58
ge	51083.33	208.58	0.26	0.43	0.86	4.05	0.23	34.51	176	0.13	0.07	0.68	3.58	12680.12	46.04	0.1	0.14	0.02	0.43	0.23	5.26	16.83	0.02	0.01	0.04	1.09	22762	98	0.02	0.14	0.82	3.33	0	28	138	0.11	0.06	0.6	2.4	100820	377	0.56	0.99	0.88	5.11	0.83	47	201	0.17	0.08	0.75	5.5
gr	49038.79	229.7	0.22	0.45	0.84	5	0.15	36.14	182.97	0.12	0.07	0.64	3.37	15604.33	63.18	0.08	0.14	0.03	0.63	0.13	5.24	19.9	0.02	0.01	0.04	1	20839	91	0.01	0.18	0.79	4	0	25	138	0.09	0.06	0.59	2.33	111651	407	0.43	0.99	0.89	6.14	0.33	45	203	0.14	0.09	0.72	6
he	49121.41	222.46	0.24	0.47	0.87	5.47	0.16	41.65	262.81	0.11	0.05	0.52	3.64	18712.73	72.96	0.1	0.17	0.02	0.7	0.18	7.93	45.62	0.02	0.01	0.05	0.97	18811	67	0.04	0.18	0.83	4.2	0	26	203	0.09	0.04	0.44	1.92	149383	482	0.52	1	0.92	6.38	0.5	53	342	0.15	0.06	0.61	5.13
it	52734.99	219.57	0.25	0.46	0.84	5.47	0.05	46.3	213.53	0.12	0.06	0.55	3.25	17992.32	63.02	0.09	0.14	0.03	0.7	0.07	9.05	24.4	0.02	0.01	0.04	1.03	17434	61	0.07	0.24	0.8	4.38	0	32	175	0.09	0.04	0.5	2.21	178325	471	0.56	1	0.89	6.8	0.2	63	252	0.15	0.07	0.64	6.09
ko	35845.48	276.03	0.26	0.52	0.82	6.29	0.06	30.53	142.84	0.12	0.06	0.87	1.72	11435.82	89.25	0.09	0.15	0.02	0.7	0.08	5.16	14.46	0.02	0.01	0.03	0.39	15768	120	0.06	0.21	0.79	5.11	0	22	116	0.09	0.04	0.83	1.22	70135	626	0.57	0.99	0.86	7.78	0.25	40	163	0.14	0.08	0.95	2.44
no	53184.96	214.11	0.21	0.43	0.86	4.56	0.15	32.4	175.87	0.14	0.08	0.67	3.67	18941.74	56.45	0.07	0.15	0.02	0.32	0.28	2.63	22.12	0.01	0.01	0.03	0.71	22686	78	0.04	0.17	0.84	4.18	0	28	146	0.11	0.05	0.61	2.57	156302	394	0.38	0.99	0.9	5.25	1	39	241	0.16	0.1	0.71	5
