lang	firstpass.dur_mean	total.dur_mean	rate_mean	reg.in_mean	d_ratio_mean	depth_mean	n_tokens_mean	n_v_ratio_mean	ttr_w_mean	ttr_d_mean	ttr_p_mean	firstpass.dur_sd	total.dur_sd	rate_sd	reg.in_sd	d_ratio_sd	depth_sd	n_tokens_sd	n_v_ratio_sd	ttr_w_sd	ttr_d_sd	ttr_p_sd	firstpass.dur_min	total.dur_min	rate_min	reg.in_min	d_ratio_min	depth_min	n_tokens_min	n_v_ratio_min	ttr_w_min	ttr_d_min	ttr_p_min	firstpass.dur_max	total.dur_max	rate_max	reg.in_max	d_ratio_max	depth_max	n_tokens_max	n_v_ratio_max	ttr_w_max	ttr_d_max	ttr_p_max
du	4045.9	5622.97	261.39	0.33	0.59	4.2	21.91	0.69	0.91	0.62	0.45	3089.29	3481.1	124.94	0.47	0.06	1.35	9.07	0.11	0.08	0.15	0.16	5	374	65	0	0.4	1	4	0.43	0.69	0.31	0.15	27107	27171	800	1	0.73	9	55	0.92	1	1	1
ee	4364.78	5144.8	185.53	0.18	0.53	3.91	15.88	0.76	0.98	0.73	0.49	2615.01	2864.84	81.79	0.39	0.08	1.69	7.55	0.11	0.05	0.15	0.14	21	488	65	0	0.33	1	5	0.5	0.68	0.36	0.2	20216	20216	649	1	0.69	12	53	0.92	1	1	1
en	3478.46	5140.05	284.96	0.34	0.59	4.68	23.22	0.69	0.92	0.65	0.44	2512.61	2810.37	118.4	0.47	0.06	1.58	8.28	0.12	0.07	0.14	0.11	27	765	65	0	0.47	2	11	0.33	0.69	0.31	0.19	18483	29200	800	1	0.74	10	55	0.9	1	1	0.7
fi	3684.66	4412.91	209.95	0.2	0.53	3.61	15.35	0.73	0.98	0.76	0.47	2243.57	2537.02	92.38	0.4	0.08	1.24	6.13	0.11	0.05	0.14	0.13	15	214	65	0	0.33	1	3	0.5	0.83	0.42	0.2	17420	19909	758	1	0.71	8	41	0.89	1	1	1
ge	3978.17	5207.34	229.82	0.26	0.58	4.03	20.34	0.74	0.94	0.65	0.48	2662.73	2900.41	91.6	0.44	0.07	1.22	7.87	0.11	0.06	0.15	0.13	2	673	65	0	0.38	2	5	0.25	0.76	0.35	0.24	26895	33261	802	1	0.75	8	46	0.92	1	1	0.88
gr	4487.14	5803.19	250.21	0.24	0.57	4.85	24.17	0.74	0.92	0.54	0.4	2998.24	3190.77	104.89	0.43	0.05	1.65	8.28	0.13	0.07	0.14	0.12	2	751	65	0	0.4	2	9	0.29	0.71	0.29	0.21	21633	24341	797	1	0.68	11	45	0.92	1	0.93	0.89
he	2898.07	4792.16	250.3	0.39	0.55	5.33	27.97	0.76	0.91	0.64	0.39	2340.87	2974.63	124.49	0.49	0.07	1.91	11.67	0.11	0.08	0.15	0.13	4	508	65	0	0.36	2	8	0.44	0.7	0.29	0.16	17260	21493	782	1	0.71	13	58	0.92	1	1	0.75
it	4407.7	6775	243.12	0.37	0.59	5.42	30.48	0.75	0.88	0.52	0.33	3148.32	4015.43	106.26	0.48	0.06	1.87	10.97	0.12	0.08	0.13	0.11	6	775	65	0	0.38	3	11	0.4	0.65	0.24	0.14	22352	34114	779	1	0.7	13	63	0.92	1	0.86	0.6
ko	3083.04	4305.9	302.76	0.34	0.41	6.36	18.63	0.62	0.98	0.58	0.27	2233.06	2540.16	147.61	0.47	0.09	2.25	6.43	0.13	0.04	0.13	0.08	23	760	65	0	0.2	2	8	0.33	0.76	0.26	0.09	16967	23878	792	1	0.6	13	38	0.92	1	1	0.5
no	4203.52	5514.13	233.1	0.27	0.58	4.53	20.33	0.75	0.94	0.63	0.44	2922.67	3045	104.81	0.45	0.08	1.52	7.03	0.11	0.07	0.16	0.12	22	607	65	0	0.38	1	7	0.4	0.71	0.17	0.08	24042	26666	791	1	0.85	10	39	0.92	1	1	0.8
ru	3776.91	4593.24	276.07	0.21	0.53	5.01	21.02	0.73	0.97	0.63	0.42	2270.92	2463.53	114.72	0.41	0.06	1.75	6.96	0.1	0.04	0.13	0.11	7	728	65	0	0.36	2	7	0.4	0.84	0.41	0.25	24860	24860	796	1	0.67	11	43	0.93	1	1	0.83
sp	3795.73	6703.36	264.7	0.43	0.58	5.17	27.14	0.72	0.87	0.53	0.37	3168.29	4291.04	122.06	0.5	0.05	1.88	10.45	0.12	0.09	0.14	0.14	24	783	65	0	0.43	2	9	0.33	0.67	0.3	0.19	28663	35109	784	1	0.7	16	58	0.92	1	0.91	0.9
tr	3995.07	5899.25	203.97	0.36	0.45	5.75	19.17	0.72	0.96	0.64	0.4	3299.81	3349.81	108.49	0.48	0.08	2.06	6.25	0.11	0.05	0.13	0.12	44	514	65	0	0.18	2	7	0.44	0.81	0.29	0.2	36680	36680	791	1	0.65	14	45	0.93	1	1	0.8
